id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.6,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on Sunday, January 2, 2022, at 9:00pm ET/PT on CNN.",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.6,"The genre of the drama ""Good Sam"" is a medical drama. This information is supported by the details in Documents 1 and 4, which mention that ""Good Sam"" is CBS's only contender in the medical genre and is considered a solid medical drama. Additionally, Document 5 describes the plot of ""Good Sam"" as following a talented yet stifled surgeon, which further aligns with the medical drama genre.",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.6,"Kentucky won the 2022 Citrus Bowl, defeating Iowa with a score of 20-17. This victory secured Kentucky's fourth straight bowl win.",1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.6,Jason Semore held the position of defensive coordinator at Valdosta State before returning to Georgia Tech.,1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.6,"Tesla delivered 936,172 vehicles in 2021.",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.6,"EVO Entertainment Group acquired ShowBiz Cinemas. This information is provided in the documents, specifically in Doc 5, which states, ""EVO Entertainment Group has acquired ShowBiz Cinemas in an all-cash deal, it was announced Monday (Jan. 3).""",1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.6,"The Super Bowl in 2022, specifically Super Bowl LVI, is held at SoFi Stadium in Inglewood, California.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.6,"Truth Social launched on iOS on February 21, 2022.",1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.6,The Power of the Dog won the Best Drama category at the 79th Golden Globes.,1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.6,"The provided documents do not contain information about the price of Georgia Tech softball 2022 season tickets. The documents only mention that current season ticket members may renew their 2022 seats, but the specific price for those tickets is not provided. Therefore, I cannot answer the question based on the given information. There are factual errors in the provided documents. The documents mention the pricing for the 2023 season tickets but do not provide information about the 2022 season tickets. The correct answer cannot be determined from the given documents. I can",0,0,1
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",0.6,"The 2022 Olympic Winter Games ended on February 20, 2022.",1,0,0
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],0.6,"Real Madrid won the Spanish Super Cup in 2022. This information is consistent across all provided documents (Doc 2, Doc 4, and Doc 5), which mention Real Madrid's victory and the key players involved in the match. There are no factual errors in the provided documents regarding the winner of the Spanish Super Cup 2022.",1,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",0.6,Microsoft is acquiring Activision Blizzard for $68.7 billion.,1,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],0.6,"The price for a 30-second spot during the Super Bowl in 2022 was $6.5 million. This information is found in Doc 1, where it states, ""Here's what you need to know about how much Super Bowl commercials cost. MORE: The 25 best Super Bowl commercials of all time, ranked NBC, the home for Super Bowl 56, has not reported the official prices for each Super Bowl ad spot, but it was reported back in September by Dan Lovinger of NBC Sports Group that the spots were selling quickly",1,0,0
14,When is the Sports Star of the Year Awards Show 2022?,"['May 26', 'May 26', 'May. 26', '26 May', '26 May', '26 May.']",0.6,"The Sports Star of the Year Awards Show in 2022 took place on May 26, 2022. This information is consistent across Documents 1 and 2.",1,0,0
15,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"['Lawrence Williams', 'Ralph Long Jr.', 'Ford Greene', 'Ronald Yancey']",0.6,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey. These individuals were recognized for their roles as trailblazers in the peaceful integration of Georgia Tech as the first higher education entity in the Deep South without a court order. They faced challenges and adversity, paving the way for future generations of Black students at the institution.",1,0,0
16,What is the codename for Google's AR headset project?,['Project Iris'],0.6,The codename for Google's AR headset project is Project Iris. This information is mentioned in Doc 1 and further confirmed in Doc 5.,1,0,0
17,What is the name of Meta's AI supercomputer?,"['RSC', 'the AI Research SuperCluster']",0.6,The name of Meta's AI supercomputer is the AI Research Supercluster (RSC).,1,0,0
