id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.6,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on January 2, 2022, at 9:00pm ET/PT on CNN.",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.6,"The genre of the drama ""Good Sam"" is medical, as stated in Doc 1, Doc 4, and Doc 5. However, there seems to be a factual error in Doc 3, where it mentions ""Good Sam"" as a contender in the medical genre, which is not accurate as it is the only medical drama mentioned in the documents. Therefore, the correct answer is medical, but with the clarification that there is an error in Doc 3.",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.6,"Kentucky won the 2022 Citrus Bowl. [Doc 1, Doc 2, Doc 4]

There are no factual errors in the provided documents.",1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.6,Jason Semore held the position of Defensive Coordinator at Valdosta State before returning to Georgia Tech.,1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.6,"Tesla delivered 936,172 vehicles in 2021. (Doc 2, Doc 4)",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.6,The company that acquired ShowBiz Cinemas is EVO Entertainment Group.,1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.6,"The Super Bowl held in 2022 was at SoFi Stadium in Inglewood, California.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.6,"Truth Social launched on iOS on February 21, 2022.",1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.6,"The film ""The Power of the Dog"" won the Best Drama at the 79th Golden Globes.",1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.6,I cannot answer the question because there is no information about the 2022 season tickets in the provided documents. The documents only mention the 2023 season tickets.,0,0,0
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",0.6,"The 2022 Olympic Winter Games ended on February 20, 2022.",1,0,0
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],0.6,"Real Madrid won the Spanish Super Cup 2022. This can be inferred from Doc 1, Doc 2, Doc 4, and Doc 5, which all state that Real Madrid won the Super Cup against Athletic in Riyadh. There are no factual errors in the provided documents.",1,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",0.6,Microsoft is acquiring Activision Blizzard for $68.7 billion.,1,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],0.6,The price for a 30-second spot during the Super Bowl 2022 is $6.5 million. (Source: Doc 5),1,0,0
14,When is the Sports Star of the Year Awards Show 2022?,"['May 26', 'May 26', 'May. 26', '26 May', '26 May', '26 May.']",0.6,"The Sports Star of the Year Awards Show 2022 was held on May 26, 2022. (Answer derived from Doc 1 and Doc 2)",1,0,0
15,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"['Lawrence Williams', 'Ralph Long Jr.', 'Ford Greene', 'Ronald Yancey']",0.6,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey.",1,0,0
16,What is the codename for Google's AR headset project?,['Project Iris'],0.6,The codename for Google's AR headset project is Project Iris.,1,0,0
17,What is the name of Meta's AI supercomputer?,"['RSC', 'the AI Research SuperCluster']",0.6,The name of Meta's AI supercomputer is AI Research Supercluster (RSC).,1,0,0
18,When will American students start taking digital SAT exams?,['2024'],0.6,American students will start taking digital SAT exams in the spring of 2024.,1,0,0
19,When do the Paralympic Winter Games 2022 start?,"['March 4', 'Mar 4', 'Mar. 4', '4 March', '4 Mar', '4 Mar.']",0.6,"The Paralympic Winter Games 2022 start on March 4, 2022. (From Doc 1)",1,0,0
20,Super Bowl 2022 date,"['February 13', 'Feb 13', 'Feb. 13', '13 February', '13 Feb', '13 Feb.']",0.6,"The Super Bowl 2022 date is February 13, 2022. (Answer from Doc 1, Doc 2, Doc 3, and Doc 5)",1,0,0
21,Who won the 2022 Nobel Prize for chemistry?,"['Carolyn R. Bertozzi', 'Morten Meldal', 'K. Barry Sharpless']",0.6,"Carolyn R. Bertozzi, Morten Meldal, and K. Barry Sharpless won the 2022 Nobel Prize for Chemistry.",1,0,0
22,Who won the Super Bowl 2022?,['Los Angeles Rams'],0.6,The Los Angeles Rams won Super Bowl 2022.,1,0,0
23,Who won women's 500m speed skating at the 2022 Winter Olympics?,['Erin Jackson'],0.6,Erin Jackson won the women's 500m speed skating at the 2022 Winter Olympics.,1,0,0
24,When was Lost Ark game release on Steam?,"['February 11', 'Feb 11', 'Feb. 11', 'February 11', '11 February', '11 Feb', '11 Feb.', '11 February']",0.6,"The Lost Ark game was released on Steam on February 11, 2022. According to Document 4, Founders Pack owners were able to play starting from February 8, but the general release was on February 11.",1,0,0
25,What medals did Jessie Diggins win in the Beijing 2022 Olympic Games?,"['silver', 'Silver', 'bronze', 'Bronze']",0.6,Jessie Diggins won two medals in the Beijing 2022 Olympic Games. She won a silver medal in the women's 30 kilometer freestyle and a bronze medal in the women's sprint.,1,0,0
26,What is the genre of The Endgame (TV show)?,['crime'],0.6,The genre of The Endgame (TV show) is Crime drama and Thriller.,1,0,0
27,When did Russia invade Ukraine?,"['February 24', 'Feb 24', 'Feb. 24', '24 February', '24 Feb', '24 Feb.']",0.6,"The Russia-Ukraine invasion occurred on 24 February 2022, as stated in Document 5.",1,0,0
28,When was Elden Ring being released?,"['February 25', 'Feb 25', 'Feb. 25', '25 February', '25 Feb', '25 Feb.']",0.6,"Elden Ring was released on February 25, 2022.",1,0,0
29,Who did Iga Swiatek defeat to win the Qatar Open 2022?,['Anett Kontaveit'],0.6,Iga Swiatek defeated Anett Kontaveit to win the Qatar Open 2022.,1,0,0
30,Which country won the most medals at the 2022 Winter Olympics?,['Norway'],0.6,"The country that won the most medals at the 2022 Winter Olympics was Norway, with a total of 37 medals.",1,0,0
31,Who won the Male Vocalist of the Year at the 2022 CMA ?,['Chris Stapleton'],0.6,"Chris Stapleton won the Male Vocalist of the Year at the 2022 CMA Awards. [Doc 3] provides detailed information about his win, including his acceptance speech and the other nominees.",1,0,0
32,Who won the ACC Tournament in 2022?,['Virginia Tech'],0.6,The ACC Tournament in 2022 was won by the Virginia Tech Hokies. This information can be found in Doc 5.,1,0,0
33,What chip does the iPhone 14 have?,['A15'],0.6,"The document provided does not mention the iPhone 14 model. However, based on the information in Doc 2, it is stated that the iPhone 14 and 14 Plus will be powered by Apple's A15 Bionic chip. Therefore, I can answer that the iPhone 14 has the A15 Bionic chip.

Regarding the iPhone 14 Pro and iPhone 14 Pro Max, they have the A16 Bionic chip, as stated in Doc 3.",1,0,0
34,When is Google I/O 2022 scheduled to take place?,"['May 11', '12']",0.6,"The provided documents do not contain information about Google I/O 2022. They all discuss Google I/O 2023, which took place on May 10, 2023. There is no information about Google I/O 2022 in the documents.",0,0,0
35,who will direct Irredeemable film?,['Jeymes Samuel'],0.6,The Irredeemable film will be directed by Jeymes Samuel.,1,0,0
36,What is the name of China's rover on Mars?,['Zhurong'],0.6,The name of China's rover on Mars is Zhurong.,1,0,0
37,Who is being honored with the 2022 Warrior Award?,['Shad Gaspard'],0.6,Shad Gaspard is being honored with the 2022 Warrior Award.,1,0,0
38,What is the weight of the Surface Laptop SE?,"['2.45', '1,112.4']",0.6,The weight of the Surface Laptop SE is 2.45 pounds. (Reference: Doc 2),1,0,0
39,Who stars in The Lost City?,"['Sandra Bullock', 'Channing Tatum']",0.6,"The following individuals star in The Lost City: Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph, and Brad Pitt.",1,0,0
