id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.2,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on Sunday, January 2, 2022, at 9:00pm ET/PT on CNN.",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.2,"The genre of the drama ""Good Sam"" is a medical drama. This information is confirmed in both Doc 1 and Doc 4, which mention that ""Good Sam"" is a medical drama and that it is considered a solid medical drama for CBS.",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.2,"Kentucky Wildcats won the 2022 Citrus Bowl. This information is consistent across Documents 1, 2, and 3, which all mention Kentucky's victory over Iowa with a score of 20-17. There are no factual errors in the provided documents regarding the winner of the 2022 Citrus Bowl.",1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.2,Jason Semore held the position of defensive coordinator at Valdosta State before returning to Georgia Tech.,1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.2,"Tesla delivered 936,172 vehicles in 2021.",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.2,"Evo Entertainment Group acquired ShowBiz Cinemas. This information is consistent across all provided documents (Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.2,"The Super Bowl in 2022 is held at SoFi Stadium in Inglewood, California. This information is consistent across documents [Doc 4] and [Doc 5].",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.2,Truth Social will launch on iOS on February 21st.,1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.2,The Power of the Dog won the Best Drama category at the 79th Golden Globes.,1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.2,The Georgia Tech softball 2022 season tickets are priced at $100 per seat.,1,0,0
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",0.2,The 2022 Olympic Winter Games ended on 20 February 2022.,1,0,0
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],0.2,"Real Madrid won the Spanish Super Cup 2022. This information is consistent across all the provided documents (Doc 1, Doc 2, Doc 3, and Doc 4). The match was played between Real Madrid and Athletic Bilbao, with Real Madrid emerging victorious with a score of 2-0. Luka Modrić was named Man of the Match, and the victory marked Real Madrid's 12th Supercopa de España title.",1,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",0.2,"Microsoft is acquiring Activision Blizzard for $95 per share in a $68.7 billion all-cash deal. This information is consistent across Documents 1, 2, and 3.",1,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],0.2,The price for a 30-second spot during the Super Bowl 2022 was $6.5 million.,1,0,0
14,When is the Sports Star of the Year Awards Show 2022?,"['May 26', 'May 26', 'May. 26', '26 May', '26 May', '26 May.']",0.2,"The Sports Star of the Year Awards Show in 2022 took place on May 26, as mentioned in the documents provided.",1,0,0
15,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"['Lawrence Williams', 'Ralph Long Jr.', 'Ford Greene', 'Ronald Yancey']",0.2,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey. These individuals are recognized for their roles as trailblazers in the peaceful integration of Georgia Tech as the first higher education entity in the Deep South without a court order. They were awarded the prize on April 20, 2022, at the Biltmore Ballroom in Atlanta.",1,0,0
16,What is the codename for Google's AR headset project?,['Project Iris'],0.2,"The codename for Google's AR headset project is Project Iris. This information is consistent across Documents 2, 3, and 5.",1,0,0
17,What is the name of Meta's AI supercomputer?,"['RSC', 'the AI Research SuperCluster']",0.2,The name of Meta's AI supercomputer is the AI Research SuperCluster (RSC).,1,0,0
18,When will American students start taking digital SAT exams?,['2024'],0.2,"American students will begin taking digital SAT exams in Spring 2024. This information is consistent across Documents 1, 2, and 5.",1,0,0
19,When do the Paralympic Winter Games 2022 start?,"['March 4', 'Mar 4', 'Mar. 4', '4 March', '4 Mar', '4 Mar.']",0.2,"The Paralympic Winter Games 2022 start on Friday, March 4. This information is consistent across Documents 1, 2, 4, and 5. There are no factual errors in the provided documents regarding the start date of the games.",1,0,0
20,Super Bowl 2022 date,"['February 13', 'Feb 13', 'Feb. 13', '13 February', '13 Feb', '13 Feb.']",0.2,"The Super Bowl 2022 is scheduled for Sunday, February 13, 2022. This information is consistent across Documents 1, 2, 3, and 5.",1,0,0
21,Who won the 2022 Nobel Prize for chemistry?,"['Carolyn R. Bertozzi', 'Morten Meldal', 'K. Barry Sharpless']",0.2,"The 2022 Nobel Prize in Chemistry was awarded to Carolyn R. Bertozzi, Morten Meldal, and K. Barry Sharpless. They were honored for their advances in ""click chemistry,"" which has played a role in treating and diagnosing illnesses. This makes Sharpless one of only two scientists to ever receive such an honor, having previously won in 2001 for his work on chirally catalyzed oxidation reactions.",1,0,0
22,Who won the Super Bowl 2022?,['Los Angeles Rams'],0.2,"The Los Angeles Rams won the Super Bowl 2022. This information is consistent across all documents provided. They defeated the Cincinnati Bengals with a score of 23-20 in Super Bowl LVI, which took place on February 13, 2022, at SoFi Stadium in Inglewood, California. The Rams' victory marked their second Super Bowl title, with the Lombardi trophy staying in Los Angeles for the first time since 2000.",1,0,0
23,Who won women's 500m speed skating at the 2022 Winter Olympics?,['Erin Jackson'],0.2,"Erin Jackson of the United States won the women's 500m speed skating at the 2022 Winter Olympics. She captured her first career Olympic gold medal in this event, becoming the first black woman to win a speed skating gold medal at the Olympics.",1,0,0
24,When was Lost Ark game release on Steam?,"['February 11', 'Feb 11', 'Feb. 11', 'February 11', '11 February', '11 Feb', '11 Feb.', '11 February']",0.2,"Lost Ark was released on Steam on February 11, 2022. This information is consistent across all provided documents (Doc 2, Doc 3, and Doc 5).",1,0,0
25,What medals did Jessie Diggins win in the Beijing 2022 Olympic Games?,"['silver', 'Silver', 'bronze', 'Bronze']",0.2,Jessie Diggins won a bronze medal in the women's individual cross-country sprint and a silver medal in the 30-kilometer freestyle race during the Beijing 2022 Olympic Games.,1,0,0
26,What is the genre of The Endgame (TV show)?,['crime'],0.2,The genre of The Endgame (TV show) is a crime drama and thriller.,1,0,0
27,When did Russia invade Ukraine?,"['February 24', 'Feb 24', 'Feb. 24', '24 February', '24 Feb', '24 Feb.']",0.2,Russia invaded Ukraine on 24 February 2022.,1,0,0
28,When was Elden Ring being released?,"['February 25', 'Feb 25', 'Feb. 25', '25 February', '25 Feb', '25 Feb.']",0.2,"Elden Ring was released on February 25, 2022.",1,0,0
29,Who did Iga Swiatek defeat to win the Qatar Open 2022?,['Anett Kontaveit'],0.2,"Iga Swiatek defeated Anett Kontaveit to win the Qatar Open 2022. This information is confirmed by Doc 3 and Doc 5, which state that Swiatek won against Kontaveit in the final.",1,0,0
30,Which country won the most medals at the 2022 Winter Olympics?,['Norway'],0.2,"Norway won the most medals at the 2022 Winter Olympics, with a total of 37 medals. This record was tied with the United States, who also won 37 medals. The information is consistent across all provided documents.",1,0,0
31,Who won the Male Vocalist of the Year at the 2022 CMA ?,['Chris Stapleton'],0.2,"Chris Stapleton won the Male Vocalist of the Year at the 2022 CMA Awards. This information is consistent across all provided documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
32,Who won the ACC Tournament in 2022?,['Virginia Tech'],0.2,Virginia Tech Hokies won the ACC Tournament in 2022. They secured their first ACC Tournament title and only their second conference tournament title in program history.,1,0,0
33,What chip does the iPhone 14 have?,['A15'],0.2,"The iPhone 14 has the A15 chip. This information is consistent across Documents 1, 2, and 4. The A15 chip has a 6-core CPU, a 5-core GPU, and a 16-core Neural Engine. The iPhone 14 Pro and iPhone 14 Pro Max have the A16 chip, as mentioned in Document 3.",1,0,0
34,When is Google I/O 2022 scheduled to take place?,"['May 11', '12']",0.2,"Google I/O 2022 is scheduled to take place on May 11 and 12, 2022. This information is confirmed in Doc 4 and Doc 5.",1,0,0
35,who will direct Irredeemable film?,['Jeymes Samuel'],0.2,"Jeymes Samuel will direct the Irredeemable film. This information is consistent across Documents 1, 3, and 4.",1,0,0
36,What is the name of China's rover on Mars?,['Zhurong'],0.2,"The name of China's rover on Mars is Zhurong. This information is confirmed in the provided documents, specifically in Doc 1, Doc 2, Doc 4, and Doc 5.",1,0,0
37,Who is being honored with the 2022 Warrior Award?,['Shad Gaspard'],0.2,"Shad Gaspard is being honored with the 2022 Warrior Award. This information is consistent across Documents 3, 4, and 5.",1,0,0
38,What is the weight of the Surface Laptop SE?,"['2.45', '1,112.4']",0.2,The weight of the Surface Laptop SE is 2.45 pounds. This information is found in both Doc 2 and Doc 5.,1,0,0
39,Who stars in The Lost City?,"['Sandra Bullock', 'Channing Tatum']",0.2,"Channing Tatum, Sandra Bullock, Daniel Radcliffe, Da'Vine Joy Randolph, and Brad Pitt star in The Lost City. This information is consistent across Documents 1, 3, 4, and 5.",1,0,0
