id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.2,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' was on January 2, 2022, at 9:00pm ET/PT on CNN.",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.2,"The genre of the drama ""Good Sam"" is a medical drama.",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.2,"According to the documents, Kentucky won the 2022 Citrus Bowl against Iowa with a score of 20-17.",1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.2,"According to the documents, Jason Semore held the position of defensive coordinator at Valdosta State before returning to Georgia Tech.",1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.2,"According to the documents, Tesla delivered 936,172 vehicles in 2021.",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.2,Evo Entertainment Group acquired ShowBiz Cinemas.,1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.2,"The Super Bowl in 2022, which was Super Bowl LVI, was held at SoFi Stadium in Inglewood, California.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.2,"According to the documents, Truth Social will launch on iOS on February 21st, 2022, which is Presidents Day in the US.",1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.2,"""The Power of the Dog"" won Best Drama at the 79th Golden Globes.",1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.2,"According to the documents, Georgia Tech softball 2022 season tickets cost $100 per seat.",1,0,0
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",0.2,"The 2022 Olympic Winter Games ended on February 20, 2022. This information can be found in Document 4, which states ""Competition began two days before the opening ceremony on 2 February, and ended on 20 February 2022.""",1,0,0
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],0.2,"Based on the information provided in the documents, Real Madrid won the Spanish Super Cup 2022. This can be confirmed from multiple sources including Doc 1, Doc 2, Doc 3, and Doc 4, which all indicate that Real Madrid defeated Athletic Bilbao 2-0 in the final of the 2021–22 Supercopa de España.",1,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",0.2,Microsoft is acquiring Activision Blizzard for $68.7 billion in an all-cash deal.,1,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],0.2,"According to the documents, the price for a 30-second spot during the Super Bowl in 2022 was $6.5 million.",1,0,0
14,When is the Sports Star of the Year Awards Show 2022?,"['May 26', 'May 26', 'May. 26', '26 May', '26 May', '26 May.']",0.2,"The Sports Star of the Year Awards Show 2022 was hosted on May 26, 2022.",1,0,0
15,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"['Lawrence Williams', 'Ralph Long Jr.', 'Ford Greene', 'Ronald Yancey']",0.2,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey. These individuals were Georgia Tech's first Black students and Ronald Yancey was also Tech's first Black graduate. They received the prize in recognition of their courageous efforts in proving that Black students had the right to study at Georgia Tech, which paved the way for many subsequent Black students.",1,0,0
16,What is the codename for Google's AR headset project?,['Project Iris'],0.2,The codename for Google's AR headset project is Project Iris.,1,0,0
17,What is the name of Meta's AI supercomputer?,"['RSC', 'the AI Research SuperCluster']",0.2,Meta's AI supercomputer is named AI Research SuperCluster (RSC).,1,0,0
18,When will American students start taking digital SAT exams?,['2024'],0.2,"According to the documents, American students will start taking digital SAT exams in the spring of 2024. Specifically, the first digital SAT test for U.S. students will be offered in the spring of 2024.",1,0,0
19,When do the Paralympic Winter Games 2022 start?,"['March 4', 'Mar 4', 'Mar. 4', '4 March', '4 Mar', '4 Mar.']",0.2,"The Paralympic Winter Games 2022 start on Friday, March 4, 2022.",1,0,0
20,Super Bowl 2022 date,"['February 13', 'Feb 13', 'Feb. 13', '13 February', '13 Feb', '13 Feb.']",0.2,"The Super Bowl 2022 date is Sunday, Feb. 13, 2022.",1,0,0
21,Who won the 2022 Nobel Prize for chemistry?,"['Carolyn R. Bertozzi', 'Morten Meldal', 'K. Barry Sharpless']",0.2,"The 2022 Nobel Prize in Chemistry was awarded to Carolyn R. Bertozzi, Morten Meldal, and K. Barry Sharpless for the development of click chemistry and bioorthogonal chemistry.",1,0,0
22,Who won the Super Bowl 2022?,['Los Angeles Rams'],0.2,"The Los Angeles Rams won the Super Bowl 2022, defeating the Cincinnati Bengals with a score of 23-20.",1,0,0
23,Who won women's 500m speed skating at the 2022 Winter Olympics?,['Erin Jackson'],0.2,Erin Jackson won the women's 500m speed skating event at the 2022 Winter Olympics.,1,0,0
24,When was Lost Ark game release on Steam?,"['February 11', 'Feb 11', 'Feb. 11', 'February 11', '11 February', '11 Feb', '11 Feb.', '11 February']",0.2,"According to the documents, Lost Ark was released on Steam on February 11, 2022. However, Founders Pack owners were able to play 3 days early on February 8, 2022.",1,0,0
25,What medals did Jessie Diggins win in the Beijing 2022 Olympic Games?,"['silver', 'Silver', 'bronze', 'Bronze']",0.2,"According to the documents, Jessie Diggins won a bronze medal in the women's individual cross-country sprint and a silver medal in the 30-kilometer freestyle race at the Beijing 2022 Olympic Games.",1,0,0
26,What is the genre of The Endgame (TV show)?,['crime'],0.2,The genre of The Endgame (TV show) is Crime drama · Thriller.,1,0,0
27,When did Russia invade Ukraine?,"['February 24', 'Feb 24', 'Feb. 24', '24 February', '24 Feb', '24 Feb.']",0.2,"Russia invaded Ukraine on February 24, 2022.",1,0,0
28,When was Elden Ring being released?,"['February 25', 'Feb 25', 'Feb. 25', '25 February', '25 Feb', '25 Feb.']",0.2,"Elden Ring was being released on February 25, 2022.",1,0,0
29,Who did Iga Swiatek defeat to win the Qatar Open 2022?,['Anett Kontaveit'],0.2,"According to the documents, Iga Swiatek defeated Anett Kontaveit to win the Qatar Open 2022. This is supported by multiple documents including Doc 1, Doc 3, and Doc 4.",1,0,0
30,Which country won the most medals at the 2022 Winter Olympics?,['Norway'],0.2,"According to the documents, Norway won the most medals at the 2022 Winter Olympics with a total of 37 medals.",1,0,0
31,Who won the Male Vocalist of the Year at the 2022 CMA ?,['Chris Stapleton'],0.2,Chris Stapleton won the Male Vocalist of the Year at the 2022 CMA Awards.,1,0,0
32,Who won the ACC Tournament in 2022?,['Virginia Tech'],0.2,"According to the documents, Virginia Tech won the 2022 ACC Tournament.",1,0,0
33,What chip does the iPhone 14 have?,['A15'],0.2,"The iPhone 14 has the A15 chip, which is the same chip found in the iPhone 13 Pro and the $429 iPhone SE from earlier this year.",1,0,0
34,When is Google I/O 2022 scheduled to take place?,"['May 11', '12']",0.2,"Based on the information provided in the documents, Google I/O 2022 was scheduled to take place on May 11 and 12, 2022.",1,0,0
35,who will direct Irredeemable film?,['Jeymes Samuel'],0.2,"According to the documents, Jeymes Samuel will direct the Irredeemable film.",1,0,0
36,What is the name of China's rover on Mars?,['Zhurong'],0.2,The name of China's rover on Mars is Zhurong.,1,0,0
37,Who is being honored with the 2022 Warrior Award?,['Shad Gaspard'],0.2,Shad Gaspard is being honored with the 2022 Warrior Award.,1,0,0
38,What is the weight of the Surface Laptop SE?,"['2.45', '1,112.4']",0.2,The weight of the Surface Laptop SE is 2.45 pounds.,1,0,0
39,Who stars in The Lost City?,"['Sandra Bullock', 'Channing Tatum']",0.2,"The stars in ""The Lost City"" include Sandra Bullock, Channing Tatum, and Daniel Radcliffe, as mentioned in multiple documents including Doc 1, Doc 3, and Doc 4.",1,0,0
40,What happened at the Academy Awards involving Will Smith and Chris Rock?,['slapped'],0.2,"During the 94th Academy Awards on March 27, 2022, Chris Rock was making a joke about Jada Pinkett Smith's shaved head during his introduction for the Best Documentary Feature category. Will Smith, reacting to the joke, walked onto the stage and slapped Chris Rock across the face. Following the incident, Smith returned to his seat and shouted profanity at Rock, who briefly responded but then continued with the presentation. Smith later won the Best Actor Oscar and made an acceptance speech where he apologized to the Academy and other nominees, though not directly to Rock. The following day, Smith issued a public apology to Rock and the Academy via social media. As a result of the incident, Smith resigned from the Academy and was banned from attending Academy events for 10 years.",1,0,0
41,When did Apple M2 chip?,"['June 6', 'Jun 6', 'Jun. 6', '6 June', '6 Jun', '6 Jun.']",0.2,"Apple unveiled the M2 chip at Apple's WWDC 2022 keynote on June 6, 2022.",1,0,0
42,What film won the 2022 Academy Award for Best Picture?,['CODA'],0.2,The film that won the 2022 Academy Award for Best Picture is CODA.,1,0,0
