id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.6,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' was on Sunday, January 2, 2022, at 9:00 PM ET/PT on CNN.",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.6,"The genre of the drama ""Good Sam"" is a medical drama. This can be inferred from Document 1 and Document 4, which mention ""Good Sam"" as a CBS drama in the medical genre and also refer to it as a solid medical drama alongside ""Smallwood.""",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.6,"Kentucky won the 2022 Citrus Bowl, securing its fourth straight postseason win and its second Citrus Bowl championship in four years.",1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.6,"According to the information provided in Doc 4, Jason Semore held the position of defensive coordinator at Valdosta State before returning to Georgia Tech.",1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.6,"According to the documents, Tesla delivered 936,172 vehicles in 2021. This information can be found in Doc 2 and Doc 4.",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.6,EVO Entertainment Group acquired ShowBiz Cinemas in an all-cash deal.,1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.6,"The Super Bowl in 2022 (Super Bowl LVI) was held at SoFi Stadium in Inglewood, California.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.6,"According to the documents, Truth Social was released on iOS on February 21, 2022.",1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.6,"According to the documents, ""The Power of the Dog"" won the Best Picture Drama at the 79th Golden Globe Awards.",1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.6,"I can not answer the question because of the insufficient information in documents. The documents provided discuss the pricing and details of the 2023 season tickets for Georgia Tech softball, but do not provide information about the 2022 season ticket prices.",0,1,0
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",0.6,"The 2022 Olympic Winter Games end on February 20, 2022. This information can be found in Document 3, which states, ""It was the 24th edition of the Winter Olympic Games. ... competition in selected events beginning 2 February 2022 [and] held from 4 to 20 February 2022 in Beijing, China, and surrounding areas.""",1,0,0
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],0.6,"Based on the information provided in the documents, Real Madrid won the Spanish Super Cup 2022. This is evident from multiple sources including Doc 2 and Doc 4, which explicitly state that Real Madrid won the Spanish Super Cup against Athletic in Riyadh, and it was their 12th victory in the competition.",1,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",0.6,Microsoft is acquiring Activision Blizzard for $68.7 billion.,1,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],0.6,The price for a 30-second spot during the Super Bowl 2022 was $6.5 million.,1,0,0
14,When is the Sports Star of the Year Awards Show 2022?,"['May 26', 'May 26', 'May. 26', '26 May', '26 May', '26 May.']",0.6,"The Sports Star of the Year Awards Show 2022 was held on May 26, 2022.",1,0,0
15,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"['Lawrence Williams', 'Ralph Long Jr.', 'Ford Greene', 'Ronald Yancey']",0.6,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey.",1,0,0
16,What is the codename for Google's AR headset project?,['Project Iris'],0.6,The codename for Google's AR headset project is Project Iris.,1,0,0
17,What is the name of Meta's AI supercomputer?,"['RSC', 'the AI Research SuperCluster']",0.6,The name of Meta's AI supercomputer is AI Research Supercluster (RSC).,1,0,0
18,When will American students start taking digital SAT exams?,['2024'],0.6,"According to the documents, American students will start taking digital SAT exams in the spring of 2024. Specifically, SAT School Day will be administered digitally starting in the spring of 2024, and all schools will begin administering the new digital SAT in that same period.",1,0,0
19,When do the Paralympic Winter Games 2022 start?,"['March 4', 'Mar 4', 'Mar. 4', '4 March', '4 Mar', '4 Mar.']",0.6,"The Paralympic Winter Games 2022 start on Friday, March 4, 2022.",1,0,0
20,Super Bowl 2022 date,"['February 13', 'Feb 13', 'Feb. 13', '13 February', '13 Feb', '13 Feb.']",0.6,"The Super Bowl 2022 date is February 13, 2022.",1,0,0
