id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.0,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' was on January 2, 2022, at 9:00pm ET/PT on CNN.",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.0,"The genre of the drama ""Good Sam"" is a medical drama.",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.0,Kentucky won the 2022 Citrus Bowl against Iowa with a score of 20-17.,1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.0,"According to the documents, Jason Semore held the position of Defensive Coordinator at Valdosta State before returning to Georgia Tech.",1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.0,"According to the documents, Tesla delivered 936,172 vehicles in 2021.",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.0,Evo Entertainment Group acquired ShowBiz Cinemas in an all-cash deal.,1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.0,"The Super Bowl in 2022 was held at SoFi Stadium in Inglewood, California.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.0,"According to the documents, Truth Social will launch on iOS on February 21st, 2022, which is Presidents' Day in the US.",1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.0,"""The Power of the Dog"" won Best Drama at the 79th Golden Globes.",1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.0,"According to the documents, the cost of Georgia Tech softball 2022 season tickets was $100 per seat.",1,0,0
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",0.0,"The 2022 Olympic Winter Games ended on February 20, 2022, based on the information provided in Document 4 and Document 5.",1,0,0
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],0.0,Real Madrid won the Spanish Super Cup 2022. The documents clearly state that Real Madrid defeated Athletic Bilbao 2-0 in the final.,1,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",0.0,Microsoft is acquiring Activision Blizzard for $68.7 billion in an all-cash deal.,1,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],0.0,The price for a 30-second spot during the Super Bowl in 2022 was $6.5 million.,1,0,0
14,When is the Sports Star of the Year Awards Show 2022?,"['May 26', 'May 26', 'May. 26', '26 May', '26 May', '26 May.']",0.0,"The Sports Star of the Year Awards Show 2022 took place on May 26, 2022.",1,0,0
15,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"['Lawrence Williams', 'Ralph Long Jr.', 'Ford Greene', 'Ronald Yancey']",0.0,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey. These individuals were Georgia Tech's first Black students and graduates, respectively, who played a crucial role in the peaceful integration of the Institute in the Deep South in 1961.",1,0,0
16,What is the codename for Google's AR headset project?,['Project Iris'],0.0,The codename for Google's AR headset project is Project Iris.,1,0,0
17,What is the name of Meta's AI supercomputer?,"['RSC', 'the AI Research SuperCluster']",0.0,Meta's AI supercomputer is named AI Research SuperCluster (RSC).,1,0,0
18,When will American students start taking digital SAT exams?,['2024'],0.0,"According to the documents, American students will start taking digital SAT exams in the spring of 2024.",1,0,0
19,When do the Paralympic Winter Games 2022 start?,"['March 4', 'Mar 4', 'Mar. 4', '4 March', '4 Mar', '4 Mar.']",0.0,"The Paralympic Winter Games 2022 start on Friday, March 4, 2022.",1,0,0
20,Super Bowl 2022 date,"['February 13', 'Feb 13', 'Feb. 13', '13 February', '13 Feb', '13 Feb.']",0.0,"The Super Bowl 2022, also known as Super Bowl LVI, will take place on Sunday, February 13, 2022.",1,0,0
