id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.8,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' was on January 2, 2022, at 9:00pm ET/PT on CNN.",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.8,"The genre of the drama ""Good Sam"" is a medical drama. This information is found in Doc 4, which states, ""Medical drama Good Sam, starring Sophia Bush..."" There are no inconsistencies or factual errors in the provided documents regarding the genre of ""Good Sam.""",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.8,"Kentucky won the 2022 Citrus Bowl. The document from Doc 1 states, ""Kentucky secured its fourth straight bowl victory Saturday with a 20-17 Citrus Bowl win over Iowa.""",1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.8,Jason Semore worked as the defensive coordinator at Valdosta State before returning to Georgia Tech.,1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.8,"Tesla delivered 936,172 vehicles in 2021.",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.8,"EVO Entertainment Group acquired ShowBiz Cinemas. This information is provided in Doc 4, which states, ""In the first week of this year, EVO acquired 100% of ShowBiz Cinemas.""",1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.8,"The Super Bowl in 2022, specifically Super Bowl LVI, was held at SoFi Stadium in Inglewood, California. This is the home stadium of the Los Angeles Rams, and it was their second consecutive and second overall Super Bowl victory in their home stadium.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.8,"Truth Social launched on iOS on February 21st, 2022.",1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.8,The Power of the Dog won the Best Drama category at the 79th Golden Globes Awards.,1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.8,GA Tech softball 2022 season tickets are priced at $100 per seat.,1,0,0
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",0.8,"The 2022 Olympic Winter Games ended on February 20, 2022. This information is provided in Document 2, which states that the Games were held from February 4 to February 20, 2022.",1,0,0
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],0.8,"Barcelona won the Spanish Super Cup 2022. This information is confirmed by Doc 2, which mentions that Barcelona players celebrated on the podium after winning the Spanish Super Cup final on January 15, 2023. The other documents provide additional context about the match, such as the absence of live streaming in India (Doc 5), the participation of both Real Madrid and Barcelona (Doc 3), and Barcelona captain Sergio Busquets' comments (Doc 5). There are no factual errors in the provided documents.",1,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",0.8,Microsoft is acquiring Activision Blizzard for $68.7 billion.,1,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],0.8,"The document does not provide specific information about the price for a 30-second spot during the Super Bowl in 2022. The closest reference is in Doc 4, which mentions that in 2022, a 30-second commercial slot cost an unspecified amount. Therefore, I can not answer the question because of the insufficient information in the documents.",0,0,0
14,When is the Sports Star of the Year Awards Show 2022?,"['May 26', 'May 26', 'May. 26', '26 May', '26 May', '26 May.']",0.8,"The Sports Star of the Year Awards Show in 2022 took place on May 26, 2022. This information is consistent across all provided documents, specifically mentioned in Doc 1.",1,0,0
15,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"['Lawrence Williams', 'Ralph Long Jr.', 'Ford Greene', 'Ronald Yancey']",0.8,"The document does not provide specific names of the recipients for the 2022 Ivan Allen Jr. Prize for Social Courage. It mentions that the award symposium honoring the four pioneers will be held on Apr. 20, 2022, but does not name the recipients. Therefore, based on the provided information, I cannot answer the question about the recipients of the 2022 prize. There are factual errors in the provided documents. The documents mention the 2022 Ivan Allen Jr. Prize for Social Courage and an award sympos",0,0,1
16,What is the codename for Google's AR headset project?,['Project Iris'],0.8,The codename for Google's AR headset project is Project Iris.,1,0,0
17,What is the name of Meta's AI supercomputer?,"['RSC', 'the AI Research SuperCluster']",0.8,The name of Meta's AI supercomputer is the AI Research SuperCluster (RSC).,1,0,0
18,When will American students start taking digital SAT exams?,['2024'],0.8,"The provided documents do not specify a particular date or timeframe for when American students will start taking digital SAT exams. The information given discusses the digital transition of the SAT, international student registration, and the benefits of the digital format, but it does not provide a clear start date for American students. Therefore, I can not answer the question because of the insufficient information in the documents.",0,0,0
19,When do the Paralympic Winter Games 2022 start?,"['March 4', 'Mar 4', 'Mar. 4', '4 March', '4 Mar', '4 Mar.']",0.8,"The Paralympic Winter Games 2022 start on March 4, 2022. This information is provided in Doc 1.",1,0,0
20,Super Bowl 2022 date,"['February 13', 'Feb 13', 'Feb. 13', '13 February', '13 Feb', '13 Feb.']",0.8,"The Super Bowl 2022 date is Sunday, Feb. 13.",1,0,0
21,Who won the 2022 Nobel Prize for chemistry?,"['Carolyn R. Bertozzi', 'Morten Meldal', 'K. Barry Sharpless']",0.8,"K. Barry Sharpless, PhD, won the 2022 Nobel Prize in Chemistry for his groundbreaking research in developing “click chemistry.” He shared the prize with Carolyn R. Bertozzi, PhD, of Stanford University, and Morten Meldal, PhD, of the University of Copenhagen. Sharpless is the second scientist to win two Nobel Prizes in Chemistry, following Frederick Sanger.",1,0,0
22,Who won the Super Bowl 2022?,['Los Angeles Rams'],0.8,"The Los Angeles Rams won the Super Bowl LVI in 2022. The Rams defeated the Cincinnati Bengals with a score of 23-20. Rams receiver Cooper Kupp was named Super Bowl MVP with eight catches for 92 yards and two touchdowns, including the game-winning 1-yard score with 1:29 remaining.",1,0,0
23,Who won women's 500m speed skating at the 2022 Winter Olympics?,['Erin Jackson'],0.8,Erin Jackson of the United States won the women's 500m speed skating at the 2022 Winter Olympics.,1,0,0
24,When was Lost Ark game release on Steam?,"['February 11', 'Feb 11', 'Feb. 11', 'February 11', '11 February', '11 Feb', '11 Feb.', '11 February']",0.8,"Lost Ark was released on Steam on February 11, as stated in Document [Doc 3].",1,0,0
25,What medals did Jessie Diggins win in the Beijing 2022 Olympic Games?,"['silver', 'Silver', 'bronze', 'Bronze']",0.8,"Jessie Diggins won two medals at the Beijing 2022 Olympic Games. She secured a bronze medal in the individual sprint on February 8, 2022, and a silver medal in the 30-kilometer freestyle race on February 20, 2022. These achievements make her the first athlete to have an Olympic medal in every color.",1,0,0
26,What is the genre of The Endgame (TV show)?,['crime'],0.8,The Endgame (TV show) is an American crime drama thriller television series.,1,0,0
27,When did Russia invade Ukraine?,"['February 24', 'Feb 24', 'Feb. 24', '24 February', '24 Feb', '24 Feb.']",0.8,"Russia invaded Ukraine on February 24, 2022.",1,0,0
28,When was Elden Ring being released?,"['February 25', 'Feb 25', 'Feb. 25', '25 February', '25 Feb', '25 Feb.']",0.8,"Elden Ring was released on February 25, 2022. This information is provided in Doc 5, which states, ""Elden Ring is a 2022 action role-playing game developed by FromSoftware... It was released for PlayStation 4, PlayStation 5, Windows, Xbox One, and Xbox Series X/S on February 25 by FromSoftware in Japan and Bandai Namco Entertainment internationally.""",1,0,0
29,Who did Iga Swiatek defeat to win the Qatar Open 2022?,['Anett Kontaveit'],0.8,"Iga Swiatek defeated Jessica Pegula to win the Qatar Open in 2022. The match score was 6-3, 6-0 in favor of Swiatek.",0,0,0
30,Which country won the most medals at the 2022 Winter Olympics?,['Norway'],0.8,"Norway won the most medals at the 2022 Winter Olympics, with a total of 37 medals (16 gold, 8 silver, and 13 bronze). This information is consistent across Documents 3 and 4.",1,0,0
31,Who won the Male Vocalist of the Year at the 2022 CMA ?,['Chris Stapleton'],0.8,"Chris Stapleton won the Male Vocalist of the Year at the 2022 CMA Awards. This was his sixth win in this category, making him the most decorated artist of all-time in this category.",1,0,0
32,Who won the ACC Tournament in 2022?,['Virginia Tech'],0.8,"Virginia Tech won the ACC Tournament in 2022, as stated in Document 5, which mentions that Virginia Tech upset Duke with a score of 82-67 to secure the title. The information about Clemson and North Carolina's championship game, Russell Shealy's MVP award, and the ad blocker warning in Document 3 and 4 are not relevant to the question about the 2022 ACC Tournament winner.",1,0,0
33,What chip does the iPhone 14 have?,['A15'],0.8,"The iPhone 14 Pro and iPhone 14 Pro Max models are equipped with Apple's new A16 Bionic chip, as stated in Doc 2. The A16 chip is more costly to produce than the A15 chip found in the iPhone 13 Pro models due to its manufacturing process based on TSMC's 4nm process. The A16 chip also delivers around 15% to 17% faster multi-core performance compared to the A15 chip. The iPhone 14 and iPhone 14 Plus models have the same A1",1,0,0
34,When is Google I/O 2022 scheduled to take place?,"['May 11', '12']",0.8,"Google I/O 2022 is scheduled to take place on May 11 and 12, 2022. This information is found in Doc 2.",1,0,0
35,who will direct Irredeemable film?,['Jeymes Samuel'],0.8,"Jeymes Samuel will direct the Irredeemable film adaptation. This information is provided in Document 1, which states, ""Academy Award nominated Kemp Powers (writer of One Night in Miami and Soul and director of the upcoming Spider-Man: Across the Spider-Verse (Part One) with Joaquim Dos Santos & Justin Thompson) will pen the adaptation, which will have the protagonists from each series – one a villain on a quest to become a superhero, and the other a fallen hero turned villain – face off. The film will be directed by Jeymes",1,0,0
36,What is the name of China's rover on Mars?,['Zhurong'],0.8,"The name of China's rover on Mars is Zhurong. This information is found in Doc 4, which states, ""On 22 May 2021 (02:40 UTC), the Zhurong rover descended from its lander onto the Martian surface to begin its scientific mission.""",1,0,0
37,Who is being honored with the 2022 Warrior Award?,['Shad Gaspard'],0.8,"Shad Gaspard is being honored with the 2022 Warrior Award. He was posthumously named the recipient of the award, which is presented to an individual who has exhibited unwavering strength, perseverance, and embodies the courage and compassion of The Ultimate Warrior. Shad passed away on May 17, 2020, and his bravery and selflessness are being recognized with this award.",1,0,0
