id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.0,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on Sunday, January 2, 2022, at 9:00pm ET/PT on CNN. This information is consistent across all provided documents (Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.0,"The genre of the drama ""Good Sam"" is Medical drama. This information is confirmed in both Doc 1 and Doc 4.",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.0,"Kentucky won the 2022 Citrus Bowl, defeating the University of Iowa with a score of 20-17. This victory marked Kentucky's fourth straight bowl game win and their second Citrus Bowl championship in four years. The information from all the documents provided is consistent and supports this answer.",1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.0,Jason Semore held the position of defensive coordinator at Valdosta State before returning to Georgia Tech.,1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.0,"Tesla delivered 936,172 vehicles in 2021. This information is provided in Documents [Doc 2] and [Doc 5].",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.0,"Evo Entertainment Group acquired ShowBiz Cinemas. This information is consistent across all documents (Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5).",1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.0,"The Super Bowl in 2022 is held at SoFi Stadium in Inglewood, California. This is the third time Los Angeles has hosted the event, with previous games taking place at the L.A. Memorial Coliseum and the Rose Bowl in Pasadena.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.0,"Truth Social will launch on iOS on February 21st. This information is confirmed by multiple documents, specifically Doc 1, Doc 2, Doc 3, Doc 4, and Doc 5.",1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.0,"The Power of the Dog won the Best Drama category at the 79th Golden Globes. This information is consistent across all provided documents (Doc 1, Doc 2, Doc 4, and Doc 5).",1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.0,The Georgia Tech softball 2022 season tickets cost $100 per seat.,1,0,0
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",0.0,"The 2022 Olympic Winter Games ended on February 20, 2022.",1,0,0
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],0.0,"Real Madrid won the Spanish Super Cup 2022. This information is consistent across all the provided documents (Doc 1, Doc 2, Doc 3, and Doc 4). The match was played between Athletic Bilbao and Real Madrid, with Real Madrid defeating Athletic Bilbao 2-0, thanks to goals from Luka Modric and Karim Benzema.",1,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",0.0,"Microsoft is acquiring Activision Blizzard for $68.7 billion in an all-cash deal. The price per share is $95, as mentioned in the documents.",1,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],0.0,The price for a 30-second spot during the Super Bowl in 2022 was $6.5 million.,1,0,0
