id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.4,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' is on January 2, 2022, at 9:00pm ET/PT on CNN.",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.4,"The genre of the drama ""Good Sam"" is medical.",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.4,"Kentucky won the 2022 VRBO Citrus Bowl. (Answer derived from Doc 1, Doc 2, Doc 3, and Doc 4)",1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.4,"At Valdosta State, Jason Semore held the position of Defensive Coordinator before returning to Georgia Tech. (Doc 2, Doc 5)",1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.4,"The documents provided do not contain information about the number of vehicles Tesla delivered in 2021. However, based on the information in Doc 2, Doc 3, and Doc 4, it is possible to infer that Tesla delivered 936,172 vehicles in 2021. This number represents the full-year deliveries for 2021, as stated in Doc 2, Doc 3, and Doc 4.

There are no factual errors in the provided documents regarding the number of vehicles Tesla delivered in 2021.",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.4,Evo Entertainment Group acquired ShowBiz Cinemas.,1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.4,"The Super Bowl held in 2022 was at SoFi Stadium in Inglewood, California.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.4,"Truth Social launched on iOS on February 21, 2022.",1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.4,"The film ""The Power of the Dog"" won the award for Best Drama at the 79th Golden Globes.",1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.4,"The documents provided do not contain information about the price of Georgia Tech softball 2022 season tickets for the year 2022. However, from the documents, we can see that the 2023 season tickets cost $100 per seat. Therefore, it is reasonable to assume that the 2022 season tickets might have a similar price range. To get the exact price, one should check the official Georgia Tech Softball Tickets page or contact the Georgia Tech athletics department.",1,0,0
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",0.4,"The 2022 Olympic Winter Games ended on February 20, 2022.",1,0,0
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],0.4,"Real Madrid won the Spanish Super Cup 2022. According to Doc 3, they defeated Athletic Bilbao 2-0 in the final of the Spanish Super Cup 2021-22, and there is no mention of a different winner in the 2022 edition. However, it seems there might be a discrepancy in the year mentioned in Doc 3 and Doc 4, as both documents refer to the Super Cup as the 2021-22 edition. Therefore, I would recommend double-checking the correct year for the Spanish Super Cup 2022.",1,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",0.4,Microsoft is acquiring Activision Blizzard for $68.7 billion.,1,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],0.4,The price for a 30-second spot during the Super Bowl 2022 was $6.5 million.,1,0,0
14,When is the Sports Star of the Year Awards Show 2022?,"['May 26', 'May 26', 'May. 26', '26 May', '26 May', '26 May.']",0.4,"The Sports Star of the Year Awards Show 2022 took place on May 26, 2022.",1,0,0
15,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"['Lawrence Williams', 'Ralph Long Jr.', 'Ford Greene', 'Ronald Yancey']",0.4,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey. These individuals were Georgia Tech's first Black students and the first Black graduate.",1,0,0
16,What is the codename for Google's AR headset project?,['Project Iris'],0.4,"The codename for Google's AR headset project is Project Iris. However, it's important to note that the project was reportedly canceled in early 2023, as mentioned in Document 4. The information in Document 5 seems to be outdated or incorrect, as it suggests that Project Iris is still in development and will be released in the future.",1,0,0
17,What is the name of Meta's AI supercomputer?,"['RSC', 'the AI Research SuperCluster']",0.4,The name of Meta's AI supercomputer is the AI Research SuperCluster (RSC).,1,0,0
18,When will American students start taking digital SAT exams?,['2024'],0.4,"American students will start taking digital SAT exams in Spring 2024, according to Doc 2 and Doc 3.",1,0,0
19,When do the Paralympic Winter Games 2022 start?,"['March 4', 'Mar 4', 'Mar. 4', '4 March', '4 Mar', '4 Mar.']",0.4,"The Paralympic Winter Games 2022 start on Friday, March 4, as stated in Doc 1, Doc 2, Doc 4, and Doc 5.",1,0,0
20,Super Bowl 2022 date,"['February 13', 'Feb 13', 'Feb. 13', '13 February', '13 Feb', '13 Feb.']",0.4,"The Super Bowl 2022 date is February 13, 2022.",1,0,0
21,Who won the 2022 Nobel Prize for chemistry?,"['Carolyn R. Bertozzi', 'Morten Meldal', 'K. Barry Sharpless']",0.4,"Carolyn R. Bertozzi, Morten Meldal, and K. Barry Sharpless won the 2022 Nobel Prize for Chemistry.",1,0,0
22,Who won the Super Bowl 2022?,['Los Angeles Rams'],0.4,The Los Angeles Rams won the Super Bowl 2022. (From Doc 4 and Doc 5),1,0,0
23,Who won women's 500m speed skating at the 2022 Winter Olympics?,['Erin Jackson'],0.4,Erin Jackson won the women's 500m speed skating at the 2022 Winter Olympics.,1,0,0
