id,question,answers,noise_rate,generation,correct,is_rejection,is_error_detected
0,When is the premiere of 'Carole King & James Taylor: Just Call Out My Name'?,"['January 2 2022', 'Jan 2, 2022', 'Jan. 2, 2022', 'January 2, 2022', '2 January 2022', '2 Jan, 2022', '2 Jan., 2022', '2 January, 2022']",0.4,"The premiere of 'Carole King & James Taylor: Just Call Out My Name' was on January 2, 2022, at 9:00pm ET/PT on CNN.",1,0,0
1,"The genre of the drama ""Good Sam"" is what?",['medical'],0.4,"The genre of the drama ""Good Sam"" is a medical drama.",1,0,0
2,Who won the 2022 Citrus Bowl?,['Kentucky'],0.4,Kentucky won the 2022 Citrus Bowl according to the documents provided.,1,0,0
3,What position did Jason Semore hold at Valdosta State before returning to Georgia Tech?,['defensive coordinator'],0.4,"According to the documents, Jason Semore held the position of Defensive Coordinator at Valdosta State before returning to Georgia Tech.",1,0,0
4,How many vehicles did Tesla deliver in 2021?,"['936,172', '936172']",0.4,"According to the documents, Tesla delivered 936,172 vehicles in 2021. This information is consistent across multiple documents including Doc 2, Doc 3, and Doc 4.",1,0,0
5,Which company acquired ShowBiz Cinemas?,['EVO Entertainment Group'],0.4,Evo Entertainment Group acquired ShowBiz Cinemas.,1,0,0
6,Where is the Super Bowl held in 2022?,['SoFi Stadium'],0.4,"The Super Bowl in 2022 was held at SoFi Stadium in Inglewood, California.",1,0,0
7,When will Truth Social launch on iOS?,"['February 21', 'Feb 21', 'Feb. 21', '21 February', '21 Feb', '21 Feb.']",0.4,"According to the documents, Truth Social launched on iOS on February 21st, 2022. This date was confirmed by a verified account tied to Truth Social's chief product officer ""Billy B,"" who stated, ""We’re currently set for release in the Apple App Store for Monday, February 21st.""",1,0,0
8,What won best drama at 79th Golden Globes?,['The Power of the Dog'],0.4,"According to the documents, ""The Power of the Dog"" won the Best Motion Picture – Drama at the 79th Golden Globe Awards.",1,0,0
9,How much are GA Tech softball 2022 season tickets?,['$100 per seat'],0.4,"According to the documents, the cost of Georgia Tech softball 2022 season tickets was $100 per seat. This information can be found in Doc 5, which states ""Season tickets are located in the reserved chairback sections of Mewborn Field and cost $100 per seat.""",1,0,0
10,When does the 2022 Olympic Winter Games end?,"['February 20', 'Feb 20', 'Feb. 20', '20 February', '20 Feb', '20 Feb.']",0.4,"The 2022 Olympic Winter Games ended on February 20, 2022. This information can be inferred from the details provided in Doc 4, which states that the games were held from February 4 to February 20, 2022.",1,0,0
11,Who won the Spanish Super Cup 2022?,['Real Madrid'],0.4,"The document does not explicitly state who won the Spanish Super Cup 2022. However, based on the information provided in Doc 3 and Doc 4, it can be inferred that Real Madrid won the Spanish Super Cup 2022-23 final, as they are mentioned to have defeated Athletic Bilbao in the 2021-22 final and are set to face Barcelona in the 2022-23 final. Since the question asks specifically about the 2022 Spanish Super Cup and no other winner is mentioned for this specific year, we can conclude that Real Madrid won the Spanish Super Cup 2022.",1,0,0
12,How much is Microsoft acquiring Activision Blizzard for?,"['$68.7 billion', '$68.7bn']",0.4,Microsoft is acquiring Activision Blizzard for $68.7 billion.,1,0,0
13,What is the price for a 30-second spot during the Super Bowl 2022?,['$6.5 million'],0.4,The price for a 30-second spot during the Super Bowl 2022 was $6.5 million.,1,0,0
14,When is the Sports Star of the Year Awards Show 2022?,"['May 26', 'May 26', 'May. 26', '26 May', '26 May', '26 May.']",0.4,"The Sports Star of the Year Awards Show 2022 was hosted on May 26, 2022.",1,0,0
15,Who are the recipients of the 2022 Ivan Allen Jr. Prize for Social Courage?,"['Lawrence Williams', 'Ralph Long Jr.', 'Ford Greene', 'Ronald Yancey']",0.4,"The recipients of the 2022 Ivan Allen Jr. Prize for Social Courage are Ford Greene, Ralph Long Jr., Lawrence Williams, and Ronald Yancey. These individuals were recognized for their roles as trailblazers who proved to the world that Black students had the right to study at Georgia Tech, paving the way for subsequent generations of Black students.",1,0,0
16,What is the codename for Google's AR headset project?,['Project Iris'],0.4,The codename for Google's AR headset project is Project Iris.,1,0,0
17,What is the name of Meta's AI supercomputer?,"['RSC', 'the AI Research SuperCluster']",0.4,Meta's AI supercomputer is named AI Research SuperCluster (RSC).,1,0,0
18,When will American students start taking digital SAT exams?,['2024'],0.4,"According to the documents, American students will start taking digital SAT exams in Spring 2024. Specifically, College Board will offer the first digital SAT test in the U.S. during the spring of 2024, affecting Class of 2024 high school students who decide to take the test during their 12th grade year.",1,0,0
19,When do the Paralympic Winter Games 2022 start?,"['March 4', 'Mar 4', 'Mar. 4', '4 March', '4 Mar', '4 Mar.']",0.4,"The Paralympic Winter Games 2022 start on Friday, March 4, 2022.",1,0,0
20,Super Bowl 2022 date,"['February 13', 'Feb 13', 'Feb. 13', '13 February', '13 Feb', '13 Feb.']",0.4,"The Super Bowl 2022 date is Sunday, Feb. 13, 2022.",1,0,0
21,Who won the 2022 Nobel Prize for chemistry?,"['Carolyn R. Bertozzi', 'Morten Meldal', 'K. Barry Sharpless']",0.4,"The 2022 Nobel Prize in Chemistry was awarded to Carolyn R. Bertozzi, Morten Meldal, and K. Barry Sharpless for the development of click chemistry and bioorthogonal chemistry.",1,0,0
22,Who won the Super Bowl 2022?,['Los Angeles Rams'],0.4,The Los Angeles Rams won the Super Bowl 2022 with a 23-20 victory over the Cincinnati Bengals.,1,0,0
23,Who won women's 500m speed skating at the 2022 Winter Olympics?,['Erin Jackson'],0.4,Erin Jackson won the women's 500m speed skating event at the 2022 Winter Olympics.,1,0,0
24,When was Lost Ark game release on Steam?,"['February 11', 'Feb 11', 'Feb. 11', 'February 11', '11 February', '11 Feb', '11 Feb.', '11 February']",0.4,"According to the documents, Lost Ark was released on Steam on February 11, 2022. Founders Pack owners were able to play starting February 8, 2022.",1,0,0
25,What medals did Jessie Diggins win in the Beijing 2022 Olympic Games?,"['silver', 'Silver', 'bronze', 'Bronze']",0.4,"According to the documents, Jessie Diggins won a silver medal in the women's 30 kilometer freestyle and a bronze medal in the individual sprint at the 2022 Winter Olympics in Beijing.",1,0,0
26,What is the genre of The Endgame (TV show)?,['crime'],0.4,The genre of The Endgame (TV show) is Crime drama · Thriller. This information is consistent across Doc 2 and Doc 5.,1,0,0
27,When did Russia invade Ukraine?,"['February 24', 'Feb 24', 'Feb. 24', '24 February', '24 Feb', '24 Feb.']",0.4,"Russia invaded Ukraine on February 24, 2022.",1,0,0
28,When was Elden Ring being released?,"['February 25', 'Feb 25', 'Feb. 25', '25 February', '25 Feb', '25 Feb.']",0.4,"Elden Ring was released on February 25, 2022.",1,0,0
29,Who did Iga Swiatek defeat to win the Qatar Open 2022?,['Anett Kontaveit'],0.4,"Based on the information provided in the documents, Iga Swiatek defeated Viktorija Golubic in the first round and Anett Kontaveit in the final to win the Qatar Open 2022.",1,0,0
30,Which country won the most medals at the 2022 Winter Olympics?,['Norway'],0.4,"According to the documents, Norway won the most medals at the 2022 Winter Olympics, with a total of 37 medals.",1,0,0
31,Who won the Male Vocalist of the Year at the 2022 CMA ?,['Chris Stapleton'],0.4,Chris Stapleton won the Male Vocalist of the Year at the 2022 CMA Awards.,1,0,0
32,Who won the ACC Tournament in 2022?,['Virginia Tech'],0.4,"According to the documents, Virginia Tech won the 2022 ACC Tournament. Specifically, Doc 3 and Doc 4 state that ""Virginia Tech upset Duke 82-67 to win the title"" on March 12, 2022.",1,0,0
33,What chip does the iPhone 14 have?,['A15'],0.4,"The iPhone 14 has the A15 Bionic chip, which is the same chip found in the iPhone 13 Pro.",1,0,0
34,When is Google I/O 2022 scheduled to take place?,"['May 11', '12']",0.4,Google I/O 2022 was scheduled to take place on May 11 and 12. This information can be found in Doc 2 and Doc 5.,1,0,0
35,who will direct Irredeemable film?,['Jeymes Samuel'],0.4,"According to the documents, Jeymes Samuel will direct the film adaptation of Irredeemable and Incorruptible.",1,0,0
36,What is the name of China's rover on Mars?,['Zhurong'],0.4,The name of China's rover on Mars is Zhurong.,1,0,0
37,Who is being honored with the 2022 Warrior Award?,['Shad Gaspard'],0.4,Shad Gaspard is being honored with the 2022 Warrior Award.,1,0,0
38,What is the weight of the Surface Laptop SE?,"['2.45', '1,112.4']",0.4,"The weight of the Surface Laptop SE is 2.45 pounds (1,112.4 g).",1,0,0
39,Who stars in The Lost City?,"['Sandra Bullock', 'Channing Tatum']",0.4,"The stars of ""The Lost City"" include Sandra Bullock, Channing Tatum, and Daniel Radcliffe, as mentioned in multiple documents including Doc 1, Doc 3, and Doc 5.",1,0,0
40,What happened at the Academy Awards involving Will Smith and Chris Rock?,['slapped'],0.4,"During the 94th Academy Awards on March 27, 2022, comedian Chris Rock was presenting an award when he made a joke about Will Smith's wife, Jada Pinkett Smith, who was in the audience with a shaved head due to alopecia areata. Enraged by the joke, Will Smith walked onto the stage and slapped Chris Rock across the face. Following the incident, Smith returned to his seat and shouted profanity at Rock, though Rock only briefly responded before continuing with the presentation. Smith later won the Best Actor award and apologized to the Academy of Motion Picture Arts and Sciences and other nominees in his acceptance speech, but not directly to Rock. The next day, Smith issued a public apology to Rock and the Academy via social media. As a result of the incident, Smith resigned from his Academy membership on April 1, faced a potential suspension or expulsion, and was banned from attending Academy events for 10 years, effective April 8.",1,0,0
41,When did Apple M2 chip?,"['June 6', 'Jun 6', 'Jun. 6', '6 June', '6 Jun', '6 Jun.']",0.4,"Apple unveiled the M2 chip on June 6, 2022, at WWDC 2022.",1,0,0
42,What film won the 2022 Academy Award for Best Picture?,['CODA'],0.4,CODA won the 2022 Academy Award for Best Picture.,1,0,0
43,When will the 94th Academy Awards be held?,"['March 27', 'Mar 27', 'Mar. 27', '27 March', '27 Mar', '27 Mar.']",0.4,"The 94th Academy Awards will be held on Sunday, March 27.",1,0,0
44,When was A House Between the Earth and the Moon published?,"['March 29', 'Mar 29', 'Mar. 29', '29 March', '29 Mar', '29 Mar.']",0.4,"A House Between Earth and the Moon was published on March 29, 2022. This information is consistent across multiple documents provided, including Doc 2 and Doc 4.",1,0,0
45,Which alnum won the Album of the Year GRAMMYs 2022,['We are'],0.4,"According to the documents, Jon Batiste's album ""WE ARE"" won the Album of the Year at the 2022 GRAMMYs.",1,0,0
46,When is the final of the 2022 FIFA World Cup?,"['December 18', 'Dec 18', 'Dec. 18', '18 December', '18 Dec', '18 Dec.']",0.4,The final of the 2022 FIFA World Cup was played on 18 December 2022.,1,0,0
47,How many vehicles did Tesla deliver in the first quarter of 2022?,"['310,048']",0.4,"According to the documents, Tesla delivered 310,048 electric vehicles in the first quarter of 2022.",1,0,0
